src/features/community/screens/PostDetailScreen.tsx(282,77): error TS2339: Property 'backBtn' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(285,29): error TS2339: Property 'headerTitle' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(286,64): error TS2339: Property 'moreBtn' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(291,33): error TS2339: Property 'content' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(293,29): error TS2339: Property 'authorSection' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(295,33): error TS2339: Property 'authorAvatarWrapper' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(296,73): error TS2339: Property 'authorAvatar' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(298,37): error TS2339: Property 'authorBadge' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(303,37): error TS2339: Property 'authorBigVBadge' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(309,33): error TS2339: Property 'authorAvatarPlaceholder' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(310,35): error TS2339: Property 'authorAvatarText' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(313,31): error TS2339: Property 'authorInfo' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(314,33): error TS2339: Property 'authorName' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(315,33): error TS2339: Property 'postTime' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(325,29): error TS2339: Property 'postTitle' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(326,29): error TS2339: Property 'postContent' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(330,31): error TS2339: Property 'imageCarousel' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(346,59): error TS2339: Property 'carouselImage' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(352,35): error TS2339: Property 'carouselImage' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(359,35): error TS2339: Property 'paginationDots' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(363,36): error TS2339: Property 'dot' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(363,79): error TS2339: Property 'dotActive' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(373,31): error TS2339: Property 'tagsRow' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(375,45): error TS2339: Property 'tagChip' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(376,37): error TS2339: Property 'tagText' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(384,43): error TS2339: Property 'purchaseBtn' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(386,33): error TS2339: Property 'purchaseBtnText' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(391,29): error TS2339: Property 'commentsSection' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(392,31): error TS2339: Property 'commentsTitle' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(394,33): error TS2339: Property 'noComments' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(404,27): error TS2339: Property 'bottomBar' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(405,29): error TS2339: Property 'commentInputContainer' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(407,27): error TS2339: Property 'commentInput' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(415,28): error TS2339: Property 'sendBtn' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(415,67): error TS2339: Property 'sendBtnDisabled' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(430,29): error TS2339: Property 'actionButtons' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(431,43): error TS2339: Property 'actionBtn' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(437,34): error TS2339: Property 'actionCount' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(437,70): error TS2339: Property 'actionCountLiked' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(441,43): error TS2339: Property 'actionBtn' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(443,33): error TS2339: Property 'actionCount' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(445,43): error TS2339: Property 'actionBtn' does not exist on type 'NamedStyles<unknown>'.
src/features/community/screens/PostDetailScreen.tsx(452,43): error TS2339: Property 'actionBtn' does not exist on type 'NamedStyles<unknown>'.
src/features/consultant/screens/AdvisorProfileScreen.tsx(30,38): error TS2339: Property 'id' does not exist on type 'object'.
src/features/consultant/screens/AdvisorProfileScreen.tsx(61,32): error TS2339: Property 'count' does not exist on type 'ConsultantProfile'.
src/features/consultant/screens/BookingScreen.tsx(42,11): error TS2339: Property 'consultantId' does not exist on type '{}'.
src/features/consultant/screens/BookingScreen.tsx(42,25): error TS2339: Property 'consultant' does not exist on type '{}'.
src/features/consultant/screens/ChatScreen.tsx(34,11): error TS2339: Property 'roomId' does not exist on type '{}'.
src/features/consultant/screens/ChatScreen.tsx(34,19): error TS2339: Property 'consultantId' does not exist on type '{}'.
src/features/consultant/screens/ChatScreen.tsx(34,33): error TS2339: Property 'consultantName' does not exist on type '{}'.
src/features/consultant/screens/ChatScreen.tsx(127,25): error TS2339: Property 'proposalData' does not exist on type 'ChatMessage'.
src/features/consultant/screens/ChatScreen.tsx(128,27): error TS2339: Property 'proposalData' does not exist on type 'ChatMessage'.
src/features/customization/screens/CustomizationPreviewScreen.tsx(71,26): error TS2339: Property 'replace' does not exist on type 'Navigation'.
src/features/customization/screens/CustomizationPreviewScreen.tsx(155,69): error TS2339: Property 'textPrimary' does not exist on type '{ readonly brand: { terracotta: string; terracottaLight: string; terracottaDark: string; sage: string; sageLight: string; sageDark: string; camel: string; camelLight: string; camelDark: string; slate: string; slateLight: string; slateDark: string; }; ... 17 more ...; readonly gradient: { ...; }; }'.
